subj_idx,response,rt
AL8,1,0.661815
AL8,1,0.6408400000000001
AL8,1,1.001207
AL8,0,0.578902
AL8,0,0.986232
AL8,0,0.7080080000000001
AL8,1,1.5855230000000002
AL8,1,0.6266430000000001
AL8,1,1.050429
AL8,1,2.71403
AL8,1,0.8314010000000001
AL8,1,0.63089
AL8,1,1.072891
AL8,1,0.781343
AL8,0,0.5030450000000001
AL8,1,0.550121
AL8,1,0.473289
AL8,1,0.9577720000000001
AL8,1,0.40759700000000004
AL8,1,0.407134
AL8,1,0.41613
AL8,1,0.758854
AL8,1,0.9062830000000001
AL8,1,0.47816800000000004
AL8,0,0.485877
AL8,1,0.413515
AL8,0,0.381338
AL8,1,1.415084
AL8,0,0.457064
AL8,1,0.520556
AL8,1,1.1340750000000002
AL8,0,0.5817140000000001
AL8,1,0.479673
AL8,1,0.737711
AL8,1,1.919245
AL8,0,0.715737
AL8,1,0.6078450000000001
AL8,1,0.448809
AL8,1,1.3918210000000002
AL8,1,0.760522
AL8,1,0.514374
AL8,1,0.630519
AL8,1,0.766775
AL8,0,1.338309
AL8,1,0.528101
AL8,0,1.521423
AL8,1,0.902817
AL8,1,0.563298
AL8,1,0.47022500000000006
AL8,1,1.1832950000000002
AL8,1,0.713574
AL8,0,1.710628
AL8,1,0.477277
AL8,1,2.025335
AL8,1,1.291656
AL8,1,0.883677
AL8,1,0.6582640000000001
AL8,1,0.538039
AL8,1,0.724491
AL8,0,0.6716960000000001
AL8,1,0.6029540000000001
AL8,1,0.8206510000000001
AL8,1,0.578296
AL8,1,0.892342
AL8,1,1.730544
AL8,1,1.6713890000000002
AL8,1,0.8689300000000001
AL8,1,0.46808900000000003
AL8,1,1.074275
AL8,1,0.880559
AL8,1,1.228347
AL8,1,1.4669390000000002
AL8,1,1.0395820000000002
AL8,1,1.3357370000000002
AL8,1,0.6603110000000001
AL8,1,0.514908
AL8,1,1.149878
AL8,0,1.4615
AL8,1,1.94977
AL8,1,0.64098
AL8,1,0.5531010000000001
AL8,0,1.6297450000000002
AL8,0,1.023491
AL8,1,0.5691750000000001
AL8,1,0.627042
AL8,1,0.44240100000000004
AL8,1,0.777344
AL8,1,1.5391690000000002
AL8,1,2.271286
AL8,1,1.149477
AL8,1,0.44618
AL8,1,0.469406
AL8,1,1.0287450000000002
AL8,1,1.4764560000000002
AL8,1,0.546734
AL8,1,0.9965560000000001
AL8,1,0.8103290000000001
AL8,1,0.9920030000000001
AL8,0,3.090141
