subj_idx,response,rt,phase
AK9,0,0.582245,-1
AK9,1,0.49679700000000004,-1
AK9,1,1.152844,-1
AK9,1,1.6287150000000001,-1
AK9,1,2.523174,-1
AK9,1,1.00751,-1
AK9,1,0.8966560000000001,-1
AK9,1,0.91116,-1
AK9,1,1.1304459999999998,-1
AK9,0,0.497622,-1
AK9,1,0.37512700000000004,-1
AK9,1,0.837,-1
AK9,0,0.732442,-1
AK9,1,0.844554,-1
AK9,1,0.720778,-1
AK9,1,0.5258120000000001,-1
AK9,1,0.530033,-1
AK9,1,0.49436700000000006,-1
AK9,1,0.37379300000000004,-1
AK9,0,1.0199310000000001,-1
AK9,1,0.516362,-1
AK9,1,0.917609,-1
AK9,1,0.518486,-1
AK9,1,1.801711,-1
AK9,1,0.656184,-1
AK9,1,0.6631180000000001,-1
AK9,1,0.598232,-1
AK9,1,0.430721,-1
AK9,1,1.85647,-1
AK9,1,0.45058,-1
AK9,1,0.8182100000000001,-1
AK9,1,0.802404,-1
AK9,1,1.1451310000000001,-1
AK9,1,0.9117630000000001,-1
AK9,0,1.507782,-1
AK9,1,0.536482,-1
AK9,1,1.059347,-1
AK9,1,0.7344769999999999,-1
AK9,0,1.442733,-1
AK9,0,0.608655,-1
AK9,1,0.507409,-1
AK9,1,0.6035370000000001,-1
AK9,1,0.6221,-1
AK9,1,0.498607,-1
AK9,0,0.7594980000000001,-1
AK9,1,1.721977,-1
AK9,1,0.47741300000000003,-1
AK9,1,0.38920499999999997,-1
AK9,1,1.0389549999999999,-1
AK9,1,0.525343,-1
AK9,1,0.713399,-1
AK9,1,0.57063,-1
AK9,0,0.444793,-1
AK9,1,0.5952430000000001,-1
AK9,1,0.5338740000000001,-1
AK9,1,0.375793,-1
AK9,1,2.3741480000000004,-1
AK9,1,0.6898970000000001,-1
AK9,1,0.530727,-1
AK9,1,0.394916,-1
AK9,1,1.485284,-1
AK9,1,0.517999,-1
AK9,1,0.5982050000000001,-1
AK9,1,1.6410140000000002,-1
AK9,1,0.6279790000000001,-1
AK9,0,1.202253,-1
AK9,1,0.8361270000000001,-1
AK9,0,1.0824610000000001,-1
AK9,1,0.5190480000000001,-1
AK9,0,0.9903240000000001,-1
AK9,1,0.8697380000000001,-1
AK9,1,0.4873,-1
AK9,1,0.973269,-1
AK9,1,0.567692,-1
AK9,1,0.36211200000000004,-1
AK9,1,0.794285,-1
AK9,1,1.371923,-1
AK9,1,0.492491,-1
AK9,1,0.759158,-1
AK9,1,0.636888,-1
AK9,1,0.764601,-1
AK9,0,0.5873,-1
AK9,1,0.8901660000000001,-1
AK9,0,0.470649,-1
AK9,1,0.9455520000000001,-1
AK9,0,0.424894,-1
AK9,1,0.7360180000000001,-1
AK9,1,1.0273040000000002,-1
AK9,1,0.586361,-1
AK9,0,1.1787450000000002,-1
AK9,0,0.8448100000000001,-1
AK9,1,1.40255,-1
AK9,1,0.387718,-1
AK9,1,0.9957280000000001,-1
AK9,1,0.643246,-1
AK9,0,0.842769,-1
AK9,1,0.568988,-1
AK9,1,1.128473,-1
AK9,1,0.477736,-1
AK9,1,0.7067430000000001,-1
AK9,1,0.49573500000000004,-1
AK9,1,0.65202,-1
AK9,0,0.626734,-1
AK9,1,0.5768920000000001,-1
AK9,0,0.7785360000000001,-1
AK9,0,0.685083,-1
AK9,1,0.587017,-1
AK9,1,0.754133,-1
AK9,0,1.341491,-1
AK9,1,0.425233,-1
AK9,0,0.836857,-1
AK9,1,0.7820929999999999,-1
AK9,1,0.6476540000000001,-1
AK9,1,0.726654,-1
AK9,1,0.538808,-1
AK9,1,0.6293000000000001,-1
AK9,1,0.8540080000000001,-1
AK9,1,0.708956,-1
AK9,1,0.8593430000000001,-1
AK9,1,0.6508970000000001,-1
AK9,1,0.619323,-1
AK9,1,0.8230740000000001,-1
AK9,0,0.935517,-1
AK9,1,0.725964,-1
AK9,1,0.742535,-1
AK9,1,0.440161,-1
AK9,1,0.816161,-1
AK9,0,0.409195,-1
AK9,1,0.450279,-1
AK9,1,1.257011,-1
AK9,1,0.617189,-1
AK9,1,0.6604260000000001,-1
AK9,0,0.482555,-1
AK9,1,0.5651470000000001,-1
AK9,0,0.888707,-1
AK9,1,0.659764,-1
AK9,0,0.759383,-1
AK9,1,1.187597,-1
AK9,0,0.7528600000000001,-1
AK9,1,1.0647550000000001,-1
AK9,1,1.138326,-1
AK9,1,0.7151649999999999,-1
AK9,1,1.005447,-1
AK9,1,1.309154,-1
AK9,0,0.659968,-1
AK9,1,1.310886,-1
AK9,1,0.972418,-1
AK9,1,0.5537090000000001,-1
AK9,1,0.556686,-1
AK9,0,0.431967,-1
AK9,1,0.6847369999999999,-1
AK9,1,0.5588000000000001,-1
AK9,1,0.474657,-1
AK9,1,0.384793,-1
AK9,1,0.490224,-1
AK9,1,0.6054790000000001,-1
AK9,1,1.029814,-1
AK9,0,0.41841000000000006,-1
AK9,1,1.122254,-1
AK9,1,1.275301,-1
AK9,1,0.665381,-1
AK9,0,0.692458,-1
AK9,1,0.987178,-1
AK9,1,1.485192,-1
AK9,0,0.593332,-1
AK9,1,1.038825,-1
AK9,1,0.951341,-1
AK9,0,1.003517,-1
AK9,1,0.820874,-1
AK9,1,0.742524,-1
AK9,1,1.1596220000000002,-1
AK9,1,0.874583,-1
AK9,0,0.7866430000000001,-1
AK9,1,1.184901,-1
AK9,1,0.6421169999999999,-1
AK9,1,1.7157660000000001,-1
AK9,1,0.825489,-1
AK9,1,0.949339,-1
AK9,1,1.2921710000000002,-1
AK9,0,0.758217,-1
AK9,1,1.330587,-1
AK9,1,0.514394,-1
AK9,1,1.2723689999999999,-1
AK9,0,0.6465650000000001,-1
AK9,0,0.631765,-1
AK9,1,1.65181,-1
AK9,0,0.6951800000000001,-1
AK9,1,1.301887,-1
AK9,0,0.8902680000000001,-1
AK9,0,0.513186,-1
AK9,1,0.87333,-1
AK9,1,0.699429,-1
AK9,0,0.38004200000000005,-1
AK9,1,0.662106,-1
AK9,0,0.801551,-1
AK9,0,1.087693,-1
AK9,0,0.862394,-1
AK9,0,1.6815140000000002,-1
AK9,1,1.0141170000000002,-1
AK9,0,1.246693,-1
AK9,1,1.4820840000000002,-1
AK9,1,1.260219,-1
AK9,0,0.9373960000000001,-1
AK9,1,0.926563,-1
AK9,1,0.428133,-1
AK9,1,1.636355,-1
AK9,1,0.706581,-1
AK9,1,0.6871330000000001,-1
AK9,1,0.5559489999999999,-1
AK9,0,0.367294,-1
AK9,1,0.8068740000000001,-1
AK9,1,0.9564170000000001,-1
AK9,1,0.799085,-1
AK9,0,1.539547,-1
AK9,1,0.895558,-1
AK9,1,0.383267,-1
AK9,1,1.336039,-1
AK9,1,1.1099100000000002,-1
AK9,1,0.704118,-1
AK9,0,0.437601,-1
AK9,1,0.640452,-1
AK9,0,0.790181,-1
AK9,1,0.392127,-1
AK9,1,0.58596,-1
AK9,1,1.481936,-1
AK9,1,0.7563920000000001,-1
AK9,1,0.968289,-1
AK9,1,0.655866,-1
AK9,0,0.543275,-1
AK9,1,0.782415,-1
AK9,1,0.944515,-1
AK9,1,0.9818730000000001,-1
AK9,1,0.632,-1
AK9,0,0.5339980000000001,-1
AK9,1,0.9709440000000001,-1
AK9,1,0.659686,-1
AK9,1,0.9108440000000001,-1
AK9,1,0.755329,-1
AK9,1,0.88737,-1
AK9,1,0.551197,-1
AK9,0,1.046772,-1
AK9,1,0.843025,-1
AK9,1,0.9350900000000001,-1
AK9,0,0.37461700000000003,-1
AK9,0,0.9113020000000001,-1
AK9,0,1.2101790000000001,-1
AK9,1,1.314794,-1
AK9,1,0.9991800000000001,-1
AK9,1,0.571432,-1
AK9,1,1.0626390000000001,-1
AK9,1,0.5977960000000001,-1
AK9,0,1.703779,-1
AK9,1,1.4516300000000002,-1
AK9,1,0.917042,-1
AK9,1,0.857623,-1
AK9,0,1.567961,-1
AK9,0,0.80791,-1
AK9,0,0.689583,-1
AK9,1,1.2275019999999999,-1
AK9,1,0.43219100000000005,-1
AK9,1,1.175391,-1
AK9,1,0.570922,-1
AK9,0,0.6762910000000001,-1
AK9,1,1.8796780000000002,-1
AK9,1,0.74278,-1
AK9,1,0.635886,-1
AK9,0,0.35424400000000006,-1
AK9,0,1.2167290000000002,-1
AK9,0,0.35482,-1
AK9,1,0.7401800000000001,-1
AK9,1,1.24806,-1
AK9,1,0.43717300000000003,-1
AK9,1,0.9166940000000001,-1
AK9,1,0.7459070000000001,-1
AK9,1,0.517703,-1
AK9,1,0.876885,-1
AK9,1,0.5301560000000001,-1
AK9,0,0.463438,-1
AK9,1,0.642593,-1
AK9,0,0.380633,-1
AK9,1,1.102543,-1
AK9,0,0.558136,-1
AK9,1,0.724213,-1
AK9,1,0.604398,-1
AK9,1,0.670012,-1
AK9,1,1.2032180000000001,-1
AK9,1,0.592069,-1
AK9,0,1.089894,-1
AK9,1,0.875499,-1
AK9,1,0.5063810000000001,-1
AK9,1,1.333441,-1
AK9,1,0.47709100000000004,-1
AK9,1,0.5307810000000001,-1
AK9,1,0.807357,-1
AK9,1,0.7207640000000001,-1
AK9,1,0.447337,-1
AK9,1,0.34971800000000003,-1
AK9,1,0.416495,-1
AK9,1,0.724017,-1
AK9,1,0.898649,-1
AK9,1,0.519109,-1
AK9,0,0.43484700000000004,-1
AK9,1,1.036174,-1
AK9,0,1.0285250000000001,-1
AK9,1,0.400383,-1
AK9,0,0.5070790000000001,-1
AK9,1,0.644644,-1
AK9,1,0.7824,-1
AK9,0,0.649481,-1
AK9,0,0.7063490000000001,-1
AK9,0,3.4618050000000005,-1
AK9,0,0.7671100000000001,-1
AK9,1,0.783394,-1
AK9,1,1.501467,-1
AK9,0,0.939207,-1
AK9,1,0.6427440000000001,-1
AK9,1,0.713654,-1
AK9,1,0.861893,-1
AK9,1,0.9869030000000001,-1
AK9,1,0.6153050000000001,-1
AK9,1,0.680529,-1
AK9,1,0.431382,-1
AK9,0,0.638726,-1
AK9,0,0.879251,-1
AK9,0,0.6739250000000001,-1
AK9,1,0.888471,-1
AK9,1,0.880955,-1
AK9,1,0.5871190000000001,-1
AK9,1,0.848106,-1
AK9,0,0.5079400000000001,-1
AK9,0,0.5685650000000001,-1
AK9,1,0.634892,-1
AK9,1,0.5986090000000001,-1
AK9,0,0.887081,-1
AK9,1,0.5911839999999999,-1
AK9,1,1.100511,-1
AK9,1,0.7986000000000001,-1
AK9,1,1.0215610000000002,-1
AK9,1,0.491947,-1
AK9,1,1.301968,-1
AK9,1,0.394779,-1
AK9,0,0.6824640000000001,-1
AK9,1,0.633592,-1
AK9,0,0.945386,-1
AK9,1,1.278831,-1
AK9,1,0.5565570000000001,-1
AK9,1,0.418933,-1
AK9,1,0.419056,-1
AK9,0,0.618904,-1
AK9,1,1.098921,-1
AK9,1,0.5075200000000001,-1
AK9,1,0.552438,-1
AK9,1,0.387929,-1
AK9,0,0.454368,-1
AK9,1,0.6435700000000001,-1
AK9,1,0.850727,-1
AK9,1,0.40125,-1
AK9,1,0.890961,-1
AK9,1,0.449475,-1
AK9,1,0.5343580000000001,-1
AK9,1,0.641196,-1
AK9,1,0.517808,-1
AK9,0,0.6489400000000001,-1
AK9,1,0.7966750000000001,-1
AK9,1,0.7911990000000001,-1
AK9,1,0.5607949999999999,-1
AK9,1,0.507719,-1
AK9,1,0.6640280000000001,-1
AK9,1,0.745467,-1
AK9,1,0.6703580000000001,-1
AK9,1,0.452356,-1
AK9,0,0.558396,-1
AK9,1,0.52049,-1
AK9,1,0.693322,-1
AK9,1,0.6414400000000001,-1
AK9,1,0.497389,-1
AK9,0,0.8137190000000001,-1
AK9,1,0.425424,-1
AK9,0,1.174986,-1
AK9,1,0.952183,-1
AK9,1,0.667374,-1
AK9,1,0.702566,-1
AK9,0,0.5354650000000001,-1
AK9,1,0.733977,-1
AK9,0,0.8911180000000001,-1
AK9,1,0.648707,-1
AK9,1,0.600313,-1
AK9,0,0.8420080000000001,-1
AK9,1,0.8345260000000001,-1
AK9,0,0.38957800000000004,-1
AK9,0,0.66392,-1
AK9,1,0.735463,-1
AK9,1,0.911337,-1
AK9,0,1.263561,-1
AK9,1,0.498524,-1
AK9,1,1.4073769999999999,-1
AK9,0,0.5248619999999999,-1
AK9,1,0.825804,-1
AK9,1,0.584512,-1
AK9,1,0.67312,-1
AK9,0,0.5405639999999999,-1
AK9,1,0.5471800000000001,-1
AK9,1,0.7010550000000001,-1
AK9,0,0.393382,-1
AK9,1,0.5154010000000001,-1
AK9,1,0.756156,-1
AK9,1,0.609501,-1
AK9,0,0.5302060000000001,-1
AK9,0,0.72399,-1
AK9,1,1.036793,-1
AK9,1,0.9119170000000001,-1
AK9,1,0.53492,-1
AK9,1,1.225219,-1
AK9,1,0.779713,-1
AK9,1,0.41881799999999997,-1
AK9,1,0.9466230000000001,-1
AK9,1,0.695001,-1
AK9,1,0.587923,-1
AK9,0,0.646383,-1
AK9,0,0.5565950000000001,-1
AK9,1,1.2744069999999998,-1
AK9,1,0.532833,-1
AK9,1,1.3282250000000002,-1
AK9,0,0.41127300000000006,-1
AK9,1,0.706775,-1
AK9,1,0.5668150000000001,-1
AK9,1,0.704812,-1
AK9,1,0.577784,-1
AK9,1,0.5422060000000001,-1
AK9,1,0.367167,-1
AK9,1,0.425466,-1
AK9,1,0.817446,-1
AK9,1,0.503678,-1
AK9,1,0.45735200000000004,-1
AK9,0,0.507174,-1
AK9,0,0.495105,-1
AK9,1,1.184066,-1
AK9,1,1.042897,-1
AK9,1,0.634338,-1
AK9,1,0.734144,-1
AK9,1,0.9538670000000001,-1
AK9,1,0.545736,-1
AK9,1,0.356423,-1
AK9,0,1.0966200000000002,-1
AK9,1,0.551984,-1
AK9,0,0.6971080000000001,-1
AK9,1,0.499043,-1
AK9,1,0.8091,-1
AK9,1,0.48585200000000006,-1
AK9,0,0.9387040000000001,-1
