subj_idx,response,rt
AK3,1,1.344479
AK3,1,0.46380000000000005
AK3,1,1.241905
AK3,0,0.656455
AK3,1,0.590245
AK3,1,0.884967
AK3,1,0.657328
AK3,0,0.40013800000000005
AK3,1,0.186542
AK3,0,0.499906
AK3,0,0.8190270000000001
AK3,0,2.361145
AK3,1,0.7420030000000001
AK3,0,0.539335
AK3,0,0.13620300000000002
AK3,1,1.853379
AK3,0,0.5174500000000001
AK3,1,0.058999
AK3,0,0.4615
AK3,0,0.060641
AK3,1,0.966966
AK3,1,0.554606
AK3,1,0.501798
AK3,0,0.65147
AK3,0,0.695667
AK3,0,0.41362400000000005
AK3,1,0.812933
AK3,1,0.5797000000000001
AK3,1,0.739114
AK3,1,0.6131230000000001
AK3,1,0.10433500000000001
AK3,1,0.5173050000000001
AK3,1,0.416348
AK3,1,0.305528
AK3,1,0.687022
AK3,0,0.707102
AK3,0,0.919184
AK3,1,0.45957600000000004
AK3,1,0.29905400000000004
AK3,0,0.16293000000000002
AK3,1,0.33167
AK3,0,0.771436
AK3,1,0.529639
AK3,0,0.06191000000000001
AK3,0,0.485196
AK3,0,0.5225700000000001
AK3,1,0.50404
AK3,0,0.793919
AK3,0,0.573044
AK3,1,0.568234
AK3,1,0.681687
AK3,1,0.383188
AK3,1,0.34939600000000004
AK3,0,0.6990750000000001
AK3,0,1.298297
AK3,1,0.8248920000000001
AK3,0,0.25775
AK3,0,0.84613
AK3,1,0.918899
AK3,0,0.5576850000000001
AK3,0,0.8634930000000001
AK3,0,1.319637
AK3,1,1.509468
AK3,0,0.554311
AK3,1,0.182767
AK3,0,0.811924
AK3,1,1.285715
AK3,1,0.33272300000000005
AK3,0,0.601688
AK3,1,1.481583
AK3,0,0.653116
AK3,0,0.102018
AK3,0,0.652413
AK3,1,0.25302
AK3,1,0.736566
AK3,1,0.450757
AK3,0,0.7533010000000001
AK3,0,0.5016670000000001
AK3,0,1.678701
AK3,0,0.07873999999999999
AK3,1,0.332628
AK3,1,0.37429
AK3,1,0.22674200000000003
AK3,0,0.832511
AK3,0,0.5457690000000001
AK3,0,0.501976
AK3,1,0.636561
AK3,0,0.292711
AK3,1,0.31149200000000005
