subj_idx,response,rt,phase
AL13,1,1.7380840000000002,-1
AL13,1,1.14434,-1
AL13,0,1.911839,-1
AL13,1,1.10321,-1
AL13,1,2.475801,-1
AL13,1,1.4651980000000002,-1
AL13,1,1.6480750000000002,-1
AL13,0,1.89178,-1
AL13,1,1.3749950000000002,-1
AL13,1,1.1699670000000002,-1
AL13,1,1.1447660000000002,-1
AL13,1,1.773339,-1
AL13,1,1.384042,-1
AL13,1,1.4531340000000001,-1
AL13,1,0.718086,-1
AL13,1,1.1514110000000002,-1
AL13,1,0.849588,-1
AL13,0,1.1531179999999999,-1
AL13,1,0.673702,-1
AL13,0,1.494733,-1
AL13,1,0.8062680000000001,-1
AL13,1,2.1987550000000002,-1
AL13,0,1.60927,-1
AL13,1,0.84363,-1
AL13,1,1.459065,-1
AL13,1,0.98315,-1
AL13,1,1.858359,-1
AL13,1,1.3639000000000001,-1
AL13,1,1.015605,-1
AL13,1,1.097047,-1
AL13,0,2.312795,-1
AL13,1,0.7042849999999999,-1
AL13,1,1.838531,-1
AL13,1,0.663121,-1
AL13,1,0.5264880000000001,-1
AL13,0,0.908582,-1
AL13,0,1.2671960000000002,-1
AL13,0,0.6326350000000001,-1
AL13,1,0.42953500000000006,-1
AL13,1,0.78254,-1
AL13,1,1.0521880000000001,-1
AL13,1,0.9237810000000001,-1
AL13,1,0.6961860000000001,-1
AL13,1,0.638507,-1
AL13,1,0.8478880000000001,-1
AL13,1,0.38411,-1
AL13,0,0.378346,-1
AL13,1,0.9975560000000001,-1
AL13,1,0.6558590000000001,-1
AL13,1,0.8746750000000001,-1
AL13,1,0.8852490000000001,-1
AL13,1,0.8761660000000001,-1
AL13,1,1.031006,-1
AL13,1,1.1646690000000002,-1
AL13,1,1.028451,-1
AL13,1,1.277031,-1
AL13,0,1.5519960000000002,-1
AL13,1,0.57311,-1
AL13,0,0.37610899999999997,-1
AL13,0,0.5717810000000001,-1
AL13,1,1.01887,-1
AL13,1,1.508541,-1
AL13,0,1.381734,-1
AL13,0,1.736247,-1
AL13,1,0.845471,-1
AL13,1,1.133413,-1
AL13,1,2.144225,-1
AL13,1,0.9997420000000001,-1
AL13,1,1.9894100000000001,-1
AL13,1,1.743999,-1
AL13,1,0.868639,-1
AL13,1,0.9648690000000001,-1
AL13,0,1.4189390000000002,-1
AL13,1,1.7151870000000002,-1
AL13,1,0.7692450000000001,-1
AL13,1,1.1078109999999999,-1
AL13,1,1.1539860000000002,-1
AL13,1,0.668961,-1
